URL,label,url_length,num_subdomains,is_ip_address,uses_https,has_at_symbol,has_hyphen_in_domain,num_digits_in_url,double_slash_redirect,https_in_url,uses_shortening_service,num_script_tags,num_iframe_tags,num_embed_tags,num_object_tags,num_form_tags,num_anchor_tags,num_external_resources,external_forms,has_eval,has_escape,has_obfuscation,has_unescape,has_exec,uses_document_cookie,uses_window_location,uses_settimeout,uses_setinterval,uses_prompt,uses_alert,uses_confirm,num_meta_tags,has_meta_refresh,has_meta_keywords,has_meta_description,num_images,num_external_images,num_data_images,ssl_certificate_issuer,is_cert_verified,has_copyright,content_length,num_links,num_external_links,num_internal_links,num_empty_links,has_favicon,has_login_form,has_social_media_links,has_meta_redirect,num_emails_in_page,page_title_length,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef
https://www.the360mag.com,1,25,2,0,1,0,0,3,0,0,0,59,0,0,0,3,291,47,1,0,1,1,1,0,1,0,1,0,0,0,0,31,0,0,0,71,34,0,Let's Encrypt,1,1,251476,291,59,232,4,1,0,1,0,3,49,24,www.the360mag.com,17,0,com,100.0,0.666666667,0.5229071,0.047143183,3,1,0,0,0.0,8,0.33299999999999996,3,0.125,0,0,0,1,0.042,1,1688,20512,1,the360mag,100.0,100.0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,76,52,38,370,1,404
https://www-info-epos.huixialing.com/jp.php,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,www-info-epos.huixialing.com,28,0,com,34.63945578,0.45833333299999995,0.5229071,0.046340888,3,1,0,0,0.0,29,0.674,0,0.0,0,0,0,6,0.14,1,35,126,1,www-info-eposhuixialingjpphp,0.0,0.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
https://bafybeictnktz5z7dyy5vxe2vxjdzlzrvaflgnwdzjgwqqpjafdcor3ed64.ipfs.dweb.link/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,bafybeictnktz5z7dyy5vxe2vxjdzlzrvaflgnwdzjgwqqpjafdcor3ed64.ipfs.dweb.link,74,0,link,9.676162649,0.47826087,0.0003306,0.031603271,4,2,0,0,0.0,64,0.78,7,0.085,0,0,0,3,0.037000000000000005,1,9,91,1,bafybeictnktz5z7dyy5vxe2vxjdzlzrvaflgnwdzjgwqqpjafdcor3ed64ipfsdweb,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://business-page-appeal-2334.web.app/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,business-page-appeal-2334.web.app,33,0,app,43.59099012,0.448275862,0.0015019999999999999,0.04505749,3,1,0,0,0.0,24,0.5710000000000001,4,0.095,0,0,0,6,0.14300000000000002,1,108,8125,1,business-page-eal-2334web,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
https://www.weblitera.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,www.weblitera.com,17,0,com,100.0,1.0,0.5229071,0.06298264,3,1,0,0,0.0,11,0.45799999999999996,0,0.0,0,0,0,1,0.042,1,327,8677,1,weblitera,100.0,100.0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,3,7,3,3,1,0
https://ipfs.io/ipfs/qmv1wc7t3dcwkfvcoprfrp3whc59b4bd5suhrom6u873pr?filename=auto.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,ipfs.io,7,0,io,10.41037292,1.0,0.0129268,0.039194052,2,0,0,0,0.0,60,0.698,12,0.14,1,1,0,4,0.07,1,526,21421,1,ipfsipfsqmv1wc7t3dcwkfvcoprfrp3whc59b4bd5suhrom6u873pr?filename=autohtml,0.0,0.0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1
http://newrog.godaddysites.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,newrog.godaddysites.com,23,0,com,69.81944444,0.684210526,0.5229071,0.058235365,3,1,0,0,0.0,21,0.677,0,0.0,0,0,0,3,0.09699999999999999,0,30,115,1,newroggodaddysites,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0
https://www.biglobe.ne.jp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,www.biglobe.ne.jp,17,0,jp,100.0,0.8,0.0230451,0.052472955,2,2,0,0,0.0,10,0.41700000000000004,0,0.0,0,0,0,2,0.083,1,863,569,1,biglobene,0.0,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,29,1,6,22,0,249
http://www.trickip.net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,www.trickip.net,15,0,net,90.08264463,1.0,0.0384199,0.056065637,3,1,0,0,0.0,9,0.429,0,0.0,0,0,0,1,0.048,0,16,50,1,trickip,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.felineconservation.org,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,www.felineconservation.org,26,0,org,100.0,1.0,0.0799628,0.066641458,3,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,1,461,2232,1,felineconservation,100.0,100.0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,20,19,25,84,0,85
